Duration (in seconds),Timepoint,Condition,Participant ID,Group,age,Gender,NAO_safe,NAO_competence,NAO_reliable,NAO_empathetic,NAO_scary,NAO_uncomfortable,NAO_social,Blossom_safe,Blossom_competent,Blossom_reliable,Blossom_empathetic,Blossom_scary,Blossom_uncomfortable,Blossom_social,Marty_safe,Marty_competent,Marty_reliable,Marty_empathetic,Marty_scary,Marty_uncomfortable,Marty_social,"SOAS_1:  I feel that this object has a mind with intentions 
",SOAS_2:  I feel that this object has likes and dislikes,SOAS_3: I feel that this object needs friends,SOAS_4:  I feel that this object knows what happens to it,SOAS_5:  I feel that this object can be excited or bored,SOAS_6:  I feel that this object can be scared or calm,SOAS_7: I feel that this object knows right from wrong,attachment_1:  I feel emotionally connected to Marty,attachment_2. Marty is very dear to me,attachment_3. I have a bond with Marty,attachment_4r. Marty has no special meaning for me (-),attachment_5r. Marty does not move me (-),intention_1. I would like to see Marty again,intention_2.  I would like to play again with Marty,intention_3. It would be nice if Marty and I could do something together again,intention_4. I would like to take Marty home,MAILS_1. I can tell if I am dealing with an application based on artificial intelligence. ,MAILS_2. I can program new applications in the field of ”artificial intelligence”. ,"MAILS_3. Although there are often new AI applications, I manage to always be ”up-to date”. ",MAILS_4. I can handle it when interactions with AI frustrate or frighten me ,MAILS_5. I can weigh the consequences of using AI for society. ,MAILS_6. I can design new AI applications. ,MAILS_7. I can use artificial intelligence meaningfully to achieve my goals. ,MAILS_8. I can also usually solve strenuous and complicated tasks when working with artificial intelligence well. ,MAILS_9. I can prevent an AI from influencing me in my decisions. ,MAILS_10. I can assess what advantages and disadvantages the use of an artificial intelligence entails. ,robotparts_1,robotparts_2,sensors_1,sensors_2,microcontrollers_1,microcontrollers_2,AI_DA09: What characteristics differentiate AI from previous IT applications?,CA12: Which of the following examples is NOT AI?,CI29: An app convert the style of your face to a Van Gogh painting. What is the main task of this AI?,"CI31: Supervised, unsupervised, and reinforcement learning 1",UA19: reinforcement learning,"GA10: What is a ""prompt""?","LLMdesign_1: When designing a prompt for an LLM, which of the following instructions could produce a worse response?",GA13: Which of the following best describes how generative AI works?,EA05: Biases,GA04: Hallucinations,PR1,PR2,PR3,PR4,GA17: AI Ethics 1,GA16: AI Ethics 2,EA11: What risks and challenges does using AI solutions entail?,LLM_Microcontrollers_1,LLM_Microcontrollers_2,LLM_Microcontrollers_3,LLM_Microcontrollers_4,LLM_Microcontrollers_5,LLM_Microcontrollers_6,LLM_Microcontrollers_7,LLM_Microcontrollers_8,Count_LLM_Microcontollers,googled,googled_time,googled_time_3_TEXT,googled_topics,googled_topics_6_TEXT,friends,friends_time,friends_time_3_TEXT,friends_who,friends_who_4_TEXT,attentioncheck,attentioncheck2
1882,T1,Experimental,11,2,14,1,6,6,6,7,1,1,7,2,3,2,6,5,2,3,5,4,5,3,1,1,6,2,1,1,1,1,1,3,1,1,1,5,4,3,2,3,4,9,11,10,8,5,8,11,11,9,10,1,1,1,1,99,1,0,1,0,0,0,0,3,1,99,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
1516,T1,Experimental,12,4,16,1,7,6,7,6,1,1,7,6,7,7,7,1,1,7,7,7,7,6,1,1,7,3,3,3,3,3,3,3,2,4,4,2,2,5,5,5,5,8,1,11,7,11,4,11,7,11,11,0,0,1,0,1,99,0,99,0,1,99,99,4,99,99,99,0,0,99,99,99,0,99,,,,,,,,,,,,,,,,,,,,,
1026,T1,Experimental,13,3,13,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,3,1,1,1,1,5,3,1,1,1,1,9,3,9,1,11,2,11,7,9,8,0,0,1,1,1,99,1,1,1,0,0,99,5,0,0,0,1,99,0,99,99,1,1,,,,,,,,,,,,,,,,,,,,,
1309,T1,Experimental,14,5,13,1,1,5,4,1,3,1,1,3,1,1,1,1,7,1,7,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,3,2,5,11,11,11,11,9,8,10,9,11,9,0,99,1,1,99,99,1,0,1,99,99,99,5,99,1,0,0,0,0,0,0,0,99,,,,,,,,,,,,,,,,,,,,,
1221,T1,Experimental,15,5,13,1,3,4,4,3,5,1,4,5,5,5,6,1,2,4,5,6,5,5,2,1,4,2,2,2,3,3,3,1,4,3,3,2,3,4,5,4,4,3,4,3,5,8,4,9,9,9,7,99,99,0,0,99,99,99,0,1,99,99,99,5,99,99,99,0,0,99,0,99,0,99,,,,,,,,,,,,,,,,,,,,,
1725,T1,Experimental,16,1,14,1,6,4,3,6,2,2,5,6,4,7,6,1,1,6,7,7,6,5,1,2,5,1,2,3,3,3,3,2,3,5,4,1,1,4,4,4,5,9,7,9,8,8,10,11,10,9,9,1,0,0,0,1,0,99,99,0,0,99,99,5,0,99,99,1,0,1,0,99,1,1,,,,,,,,,,,,,,,,,,,,,
898,T1,Experimental,17,7,13,1,3,5,4,6,2,3,5,5,5,4,6,2,2,6,6,7,6,7,1,1,7,3,3,2,3,3,1,2,4,3,5,3,2,4,4,4,5,9,7,7,8,9,6,7,5,5,8,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
832,T1,Experimental,18,8,13,1,6,5,6,3,1,1,4,4,4,5,3,2,2,5,6,4,6,4,3,1,5,1,1,3,2,2,3,1,1,1,3,4,2,2,3,3,1,6,9,6,7,5,3,8,8,7,9,0,1,1,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
2176,T1,Experimental,20,6,14,1,6,3,3,1,2,3,3,7,2,2,3,1,1,2,6,5,5,1,2,2,1,1,1,1,1,1,1,2,2,1,2,3,3,2,4,3,4,10,9,9,11,10,9,10,9,10,11,1,0,1,0,1,0,0,0,1,1,0,1,3,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
1436,T1,Experimental,21,9,14,1,7,7,7,7,7,6,7,7,7,5,5,1,1,6,4,3,7,5,6,7,6,3,3,1,1,1,2,2,1,1,1,3,5,3,3,3,2,7,1,7,9,6,3,11,7,2,8,99,0,0,99,99,99,0,1,1,0,99,99,1,0,0,0,0,99,99,99,1,0,0,,,,,,,,,,,,,,,,,,,,,
1113,T1,Experimental,23,7,14,2,3,4,4,4,3,3,4,5,3,3,4,3,2,4,4,3,4,4,2,3,3,2,3,2,1,3,3,2,2,3,3,3,3,4,3,3,5,4,3,5,4,5,4,5,3,4,5,0,0,1,0,99,1,0,0,99,0,0,99,4,0,1,99,0,0,1,0,99,0,0,,,,,,,,,,,,,,,,,,,,,
1640,T1,Experimental,24,6,14,1,3,4,5,4,2,3,4,3,4,3,3,5,4,4,3,4,5,5,2,3,4,3,2,2,2,3,3,3,2,2,2,3,4,3,2,3,4,6,4,8,6,7,4,8,7,4,9,0,99,1,0,0,99,99,0,1,1,1,0,3,0,1,1,0,0,1,1,99,1,0,,,,,,,,,,,,,,,,,,,,,
1997,T1,Experimental,25,10,14,1,3,3,1,2,2,4,1,2,2,3,3,1,1,2,2,3,1,2,2,1,3,3,2,1,2,3,3,3,5,5,4,1,2,3,4,4,4,2,4,2,4,2,5,4,9,4,2,99,0,0,99,0,99,0,1,0,0,99,0,2,0,99,99,99,99,99,0,99,99,99,,,,,,,,,,,,,,,,,,,,,
1516,T1,Experimental,26,7,13,1,6,1,6,1,2,3,1,6,2,6,1,2,4,1,7,2,6,1,2,2,1,1,2,1,3,1,2,3,1,1,1,5,1,2,3,2,3,8,9,11,5,6,9,10,9,10,10,0,0,0,0,1,1,0,1,1,99,99,1,5,0,99,0,1,0,1,0,99,1,0,,,,,,,,,,,,,,,,,,,,,
1669,T1,Experimental,27,6,14,0,7,4,7,4,1,1,5,7,3,4,3,1,1,4,7,4,4,4,1,1,4,2,1,1,1,2,2,1,5,5,5,1,1,5,5,5,5,10,1,6,11,6,2,9,6,10,10,99,99,99,99,99,99,99,99,0,99,99,99,2,99,99,99,1,1,1,0,99,99,99,,,,,,,,,,,,,,,,,,,,,
1219,T1,Experimental,28,10,14,2,4,4,3,1,4,2,2,3,4,3,1,4,3,1,2,3,3,1,1,2,1,2,2,1,1,3,3,3,1,2,1,3,1,2,3,2,3,4,7,7,10,5,4,8,7,8,9,99,0,0,0,1,1,0,0,1,0,1,99,3,0,1,0,99,0,99,0,99,1,0,,,,,,,,,,,,,,,,,,,,,
804,T1,Experimental,29,8,12,1,4,7,7,3,5,1,6,7,3,2,3,1,1,5,7,3,4,1,4,1,5,1,1,1,1,2,2,2,1,1,1,5,5,2,3,2,2,3,3,2,3,1,2,3,3,3,2,1,99,1,0,99,99,99,99,99,99,99,99,5,99,99,99,0,1,1,99,99,0,99,,,,,,,,,,,,,,,,,,,,,
1396,T1,Experimental,30,9,13,2,6,7,7,6,1,1,6,7,7,7,6,1,1,5,6,7,7,6,1,1,7,2,3,2,2,3,2,3,3,4,3,1,2,4,4,5,2,6,6,6,8,9,1,9,10,8,7,99,1,1,99,99,99,99,99,1,99,99,99,5,1,0,99,0,99,99,0,99,1,99,,,,,,,,,,,,,,,,,,,,,
1134,T1,Experimental,31,10,13,2,5,5,2,2,3,3,4,2,3,4,6,5,1,2,1,3,4,6,5,4,2,2,3,3,3,1,3,2,4,3,3,2,3,3,3,3,2,10,6,8,8,5,4,10,11,6,8,99,0,1,0,99,0,0,0,1,0,1,99,3,1,99,99,1,0,0,0,99,0,0,,,,,,,,,,,,,,,,,,,,,
410,T1,Experimental,32,9,13,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,2,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
660,T4,Experimental,1,1,13,1,4,2,3,3,1,1,4,6,3,6,5,1,1,4,7,1,7,3,1,1,5,2,2,3,1,1,1,3,3,3,3,3,4,4,3,3,4,10,6,6,6,9,7,9,8,11,8,1,0,1,1,99,99,0,99,1,1,99,99,3,99,99,0,99,99,99,99,99,1,99,,,,,,,,,,,,,,,,,,,,,
599,T4,Experimental,2,1,13,1,3,4,5,1,1,1,4,4,5,4,1,1,1,4,4,4,4,1,1,1,4,2,1,2,2,2,2,3,2,4,3,4,3,4,4,4,4,10,6,9,6,9,6,10,7,7,8,1,0,1,99,0,99,99,99,1,99,99,99,5,99,99,0,99,0,1,0,99,99,99,,,,,,,,,,,,,,,,,,,,,
756,T4,Experimental,3,2,13,1,2,4,4,5,2,1,5,4,4,4,4,1,1,5,5,3,4,3,1,1,3,2,3,2,1,1,3,2,1,4,1,2,3,4,4,4,5,7,6,11,9,9,8,11,9,11,11,0,1,1,1,1,99,1,0,99,1,99,99,2,0,0,99,0,99,99,1,0,99,99,,,,,,,,,,,,,,,,,,,,,
1261,T4,Experimental,4,3,12,1,5,5,4,1,1,1,4,7,1,3,1,1,1,1,7,7,3,1,1,1,6,1,1,1,2,2,1,1,1,1,1,5,5,2,2,2,1,11,10,9,11,11,9,8,8,11,11,0,1,1,0,0,1,99,0,1,0,0,99,5,0,99,0,0,99,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
744,T4,Experimental,5,4,14,1,6,2,6,6,2,1,6,5,2,6,6,4,3,6,7,7,7,7,7,7,7,2,2,2,2,1,2,2,1,3,1,2,3,5,4,3,4,8,5,7,6,7,8,7,6,10,6,1,1,1,0,1,0,0,99,1,1,0,0,5,0,99,1,1,0,1,1,99,99,99,,,,,,,,,,,,,,,,,,,,,
1497,T4,Experimental,6,3,13,1,6,2,3,4,1,2,5,2,4,3,1,1,2,1,4,3,2,1,1,3,5,1,1,1,2,2,1,2,1,1,1,3,2,2,1,2,1,5,1,3,2,8,1,2,3,7,8,99,1,0,0,99,99,0,0,0,1,99,99,5,1,99,99,1,99,99,0,99,0,99,,,,,,,,,,,,,,,,,,,,,
632,T4,Experimental,7,4,14,1,7,6,4,6,1,1,7,6,4,6,5,1,1,5,7,7,7,4,1,1,7,3,2,3,1,3,3,2,4,5,5,1,1,5,5,5,5,11,10,10,11,11,1,10,10,11,11,1,0,1,0,1,99,99,0,1,1,99,1,5,1,99,0,0,99,0,99,99,99,99,,,,,,,,,,,,,,,,,,,,,
528,T4,Experimental,8,1,13,1,7,7,7,7,1,1,7,5,6,5,5,5,5,5,7,7,7,7,1,1,7,1,1,3,2,2,1,2,1,2,2,2,3,3,4,2,5,9,10,8,6,3,9,10,9,4,6,1,0,1,99,1,99,99,99,99,99,99,99,5,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,
757,T4,Experimental,9,5,14,1,3,3,5,2,4,4,5,6,3,5,5,4,4,2,6,5,5,6,6,3,6,1,3,3,3,3,2,2,3,4,4,2,3,4,4,4,3,9,9,6,9,8,7,8,7,3,11,1,0,1,1,1,99,99,99,1,1,99,0,2,1,99,99,99,1,1,1,1,0,99,,,,,,,,,,,,,,,,,,,,,
1451,T4,Experimental,11,2,14,1,6,5,4,4,1,5,6,3,5,2,6,3,4,4,2,2,2,3,1,3,5,1,1,1,1,1,1,1,1,1,1,5,4,4,3,4,5,9,8,8,1,6,10,10,7,5,6,1,1,1,1,1,0,0,1,99,0,0,1,5,1,0,0,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
639,T4,Experimental,12,4,16,1,7,7,7,7,1,1,7,7,7,7,7,1,1,7,7,7,7,1,1,1,7,3,1,3,1,2,2,2,4,3,2,2,2,5,5,5,5,11,1,9,11,11,1,11,7,4,11,0,99,0,99,1,0,99,99,0,0,0,99,5,1,99,99,1,99,99,99,0,1,0,,,,,,,,,,,,,,,,,,,,,
683,T4,Experimental,13,3,13,1,7,7,5,7,3,3,7,4,1,4,1,1,7,1,5,3,6,4,7,7,5,1,1,1,2,1,1,1,1,2,1,3,2,2,2,2,5,11,1,8,3,11,1,9,11,8,8,1,0,1,1,1,0,1,1,1,99,0,0,3,1,1,0,99,1,1,99,0,1,1,,,,,,,,,,,,,,,,,,,,,
846,T4,Experimental,14,5,13,1,4,3,2,2,4,5,3,4,2,4,3,7,6,2,3,2,7,1,1,1,3,1,1,1,1,1,1,1,5,5,5,4,3,5,5,5,5,6,6,9,11,11,11,11,11,11,11,0,1,1,1,1,1,0,0,0,1,99,99,5,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
556,T4,Experimental,15,5,13,1,4,6,3,5,1,2,5,4,5,4,5,3,3,4,7,5,7,5,2,2,6,3,1,3,3,2,2,1,4,4,4,2,2,4,4,4,4,7,4,8,3,8,5,9,6,8,7,1,0,0,99,99,99,0,0,1,0,1,99,5,1,99,99,0,99,99,1,99,0,99,,,,,,,,,,,,,,,,,,,,,
1038,T4,Experimental,16,1,14,1,6,5,6,4,3,3,6,3,3,4,4,1,2,3,5,4,4,5,1,2,5,2,1,3,1,1,3,3,4,4,4,2,1,3,4,4,5,6,7,5,7,7,8,8,8,7,8,0,0,1,0,99,0,1,0,0,1,99,0,1,1,1,99,0,0,99,0,99,99,99,,,,,,,,,,,,,,,,,,,,,
775,T4,Experimental,17,7,13,1,6,6,7,3,1,1,4,4,2,3,7,1,2,6,5,4,5,4,2,2,6,3,2,3,2,3,1,2,3,4,3,3,5,3,5,4,2,11,6,7,7,9,6,8,5,11,9,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
532,T4,Experimental,18,8,13,1,7,1,7,5,1,3,5,5,5,6,7,4,7,4,2,1,2,2,3,1,2,2,2,1,1,3,1,2,2,3,2,2,3,1,2,3,1,7,8,9,7,8,6,7,7,9,8,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
993,T4,Experimental,19,8,,,3,3,4,4,3,4,4,4,4,3,4,4,4,3,4,3,4,3,3,3,4,2,1,3,2,2,1,2,2,2,3,3,3,3,2,2,2,4,6,7,5,6,6,6,8,6,6,1,1,1,0,1,1,0,0,1,1,0,99,5,99,0,99,0,0,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,
1365,T4,Experimental,20,6,14,1,4,5,6,4,1,1,5,5,5,5,4,1,1,5,5,5,5,3,1,1,4,1,1,1,1,1,2,2,1,1,1,1,3,2,3,3,5,8,7,9,9,10,5,10,8,9,10,1,99,1,0,1,99,0,0,99,0,99,1,2,0,1,99,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
444,T4,Experimental,21,9,14,1,6,6,7,1,5,1,6,7,1,1,1,1,1,1,7,1,4,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,5,4,4,1,1,11,1,11,11,1,1,11,11,11,11,99,99,99,99,99,99,99,99,99,99,99,99,5,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,
718,T4,Experimental,23,7,14,2,4,3,4,3,3,3,4,4,4,3,5,2,1,5,5,5,3,4,3,3,4,2,3,3,1,2,1,2,2,2,2,4,3,3,2,3,4,5,4,6,5,7,5,4,5,6,7,0,0,1,0,0,1,99,99,0,0,1,0,5,0,99,0,1,1,99,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
912,T4,Experimental,24,6,14,1,4,4,2,3,2,2,3,3,4,4,4,2,3,5,4,4,4,3,2,3,4,3,1,2,3,1,1,2,1,1,1,4,4,3,2,2,2,6,4,5,7,4,3,10,7,5,4,0,0,0,0,1,0,0,0,1,99,1,0,2,0,99,0,1,1,0,0,99,99,0,,,,,,,,,,,,,,,,,,,,,
518,T4,Experimental,25,10,14,1,7,7,6,6,7,7,7,7,7,6,7,7,6,7,6,6,7,7,7,7,7,3,2,1,2,2,3,3,5,1,5,5,5,4,5,5,5,8,7,4,6,4,11,11,3,6,6,,,1,,,,,99,,,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,,,
698,T4,Experimental,26,7,13,1,5,5,6,1,3,4,1,7,2,6,1,1,4,1,6,5,3,1,1,3,1,1,1,1,3,1,2,3,1,1,1,5,5,2,2,2,4,9,9,10,11,10,10,10,10,10,10,0,0,1,1,0,99,99,0,99,99,99,1,3,0,99,0,1,0,1,99,1,0,1,,,,,,,,,,,,,,,,,,,,,
1258,T4,Experimental,27,6,14,0,5,6,6,4,2,1,5,6,2,2,4,2,2,3,6,6,6,6,1,1,5,1,1,1,1,1,1,1,2,4,3,1,2,5,5,5,4,11,3,8,11,8,3,10,8,11,9,99,0,1,0,99,99,1,1,0,0,1,0,1,99,99,0,0,1,1,0,99,0,99,,,,,,,,,,,,,,,,,,,,,
630,T4,Experimental,28,10,14,2,4,3,3,3,2,2,4,2,2,2,1,1,1,2,2,2,3,2,1,2,3,2,1,1,1,3,3,2,1,1,1,3,4,2,3,3,3,7,4,9,11,7,5,7,3,10,10,0,0,99,1,0,0,0,0,0,1,99,1,1,0,99,1,0,0,99,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
433,T4,Experimental,29,8,12,1,5,7,6,3,4,7,2,7,7,5,7,1,3,7,1,2,1,1,1,7,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,8,5,5,5,8,7,7,5,4,8,1,0,99,99,1,99,99,99,0,99,0,99,2,99,1,0,0,99,1,99,0,1,99,,,,,,,,,,,,,,,,,,,,,
1118,T4,Experimental,30,9,13,2,7,7,6,6,2,2,7,7,7,6,6,1,1,7,6,7,7,6,1,2,7,1,1,2,2,2,2,3,2,4,3,3,2,4,4,5,4,9,8,6,11,8,7,9,11,6,10,1,0,1,0,0,0,0,99,1,99,99,99,1,99,0,0,0,0,99,1,0,0,1,,,,,,,,,,,,,,,,,,,,,
516,T4,Experimental,31,10,13,2,6,4,5,2,3,4,4,2,4,6,6,7,5,5,2,2,2,5,6,3,2,3,2,3,3,2,3,1,2,2,2,3,2,3,3,3,3,9,6,9,9,6,10,9,9,6,10,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
818,T7,Experimental,1,1,13,1,4,3,5,2,1,2,3,5,3,5,4,1,1,4,7,3,5,5,1,1,5,2,2,2,2,1,1,3,1,2,3,3,1,4,4,3,4,10,8,7,11,10,6,10,10,10,6,1,0,1,1,1,0,99,0,1,1,0,0,3,1,99,0,99,0,99,0,99,99,1,1,1,1,1,1,1,99,1,7,2,,,,,1,3,Alles keine Ahnung mehr,2,,1,1
876,T7,Experimental,2,1,13,1,4,5,5,1,1,1,4,5,6,4,3,1,1,2,6,4,4,4,1,1,5,2,2,1,3,1,1,3,1,1,1,1,1,4,4,3,4,10,5,9,5,11,7,7,8,11,6,99,0,1,0,1,0,0,0,1,1,99,99,4,0,1,1,99,1,1,1,99,1,99,0,0,1,99,0,1,99,1,3,4,,,,,3,,,,,1,1
1112,T7,Experimental,3,2,13,1,6,5,6,7,2,1,6,5,5,5,7,1,2,7,7,5,6,6,1,1,7,3,3,2,1,3,3,2,4,4,4,2,3,4,5,4,4,9,8,8,9,9,10,11,9,10,9,0,1,1,1,1,1,1,0,1,0,99,99,1,99,0,0,0,1,1,0,0,0,99,1,1,1,1,1,1,99,1,7,2,,,,,1,"1,2",,3,,1,1
